start_sum,average_st,end_sum_1,GWBH,QXMC,Count_sport,Count_health,Count_entertainment,Count_life services,Count_business housing,Count_car,Count_tourist attrctions,Count_science_education_culture,Count_hotel,Count_financial,Count_transpoitation,Count_shopping,Count_company,Count_restaurant,Ar_uv,Ar_all,Count_bus,Count_subway,road_Le_1,road_Le_2,road_Le_3,road_Le_4,sum_road,Sum_grid_c,ave_price
2754,9.153594771,443,166921,Nanshan,5,9,3,26,20,2,2,19,5,2,22,21,7,24,1.74E-05,2.19E-05,1,0,0.008049027,0.011987053,0.002622256,0.013493061,0.036151397,3335.382866,10.10418652
382,9.45026178,322,171108,Futian,6,1,0,3,2,2,2,2,3,0,17,4,1,0,9.33E-06,2.19E-05,1,0,0.010241454,0.028544048,0.003236789,0.010750197,0.052772488,18089.74298,8.295832913
67,10.68656716,52,171110,Futian,5,23,1,58,22,14,4,24,1,9,28,53,18,33,6.98E-08,2.19E-05,1,0,0.000584285,0.038156354,0.000414411,0.004657381,0.043812431,22249.06866,9.750398533
1110,9.715315315,358,171911,Nanshan,1,4,2,43,12,12,4,5,5,3,19,126,13,123,1.86E-05,2.19E-05,3,0,0.021085385,0.013822771,0.000273451,0.014872312,0.050053919,7926.947762,12.18532819
868,9.218894009,259,171937,Futian,6,17,2,47,13,7,0,18,10,3,53,76,10,46,1.67E-05,2.19E-05,2,0,0.01753632,0.032945476,0.000418688,0.000564831,0.051465315,16574.81482,7.095217823
536,9.248134328,622,171939,Futian,10,18,5,69,24,9,4,39,14,13,65,136,47,57,1.05E-05,2.19E-05,1,0,0.021287439,0.016309719,0.000934843,0.018551171,0.057083172,10812.8906,7.509630858
1099,9.887170155,385,171940,Futian,12,23,2,66,18,7,3,20,33,12,44,155,25,54,2.19E-05,2.19E-05,2,1,0.009925565,0.031854907,0.002662994,0.005692823,0.050136289,19007.63374,10.88035916
1976,9.623987854,923,172744,Nanshan,1,27,8,97,37,4,3,6,36,3,48,179,15,264,9.43E-06,2.19E-05,1,1,0.023920428,0.014413942,0.005209238,0.004020238,0.047563846,9413.423935,11.77206275
771,9.57846952,398,172745,Nanshan,9,28,16,95,38,8,0,58,25,12,57,239,56,150,0,2.19E-05,2,0,0.04276109,0.013117737,0.010051327,0.008584443,0.074514597,11194.94209,9.690300825
1581,8.775458571,543,172767,Futian,2,5,1,16,16,3,1,9,7,1,15,48,50,62,3.19E-06,2.19E-05,4,1,0.027416312,0.030688327,0.004145253,0.009236296,0.071486188,16063.89673,9.782198755
